店舗名,種別,ブランド,緯度,経度,住所(番地)
ヤマザワ,スーパー,,38.2537241,140.3174778,
レモン(100円ショップ),スーパー,,38.262712,140.3137798,
ヤマザワ,スーパー,,38.2751158,140.3247955,
ヨークベニマル,スーパー,ヨークベニマル,38.235048,140.318405,
セブン-イレブン,コンビニ,セブン-イレブン,38.2620455,140.3185477,
セブン-イレブン,コンビニ,セブン-イレブン,38.2481235,140.3238246,
セブン-イレブン,コンビニ,セブン-イレブン,38.2461703,140.3174339,
セブン-イレブン,コンビニ,セブン-イレブン,38.2356192,140.3055494,
(名前なし),コンビニ,,38.1896643,140.3173243,
セブン-イレブン,コンビニ,セブン-イレブン,38.2401368,140.3708161,
ローソン,コンビニ,LAWSON,38.2407648,140.369909,
ローソン,コンビニ,ローソン,38.2419997,140.3992515,
吉田,スーパー,,38.2516567,140.3216491,
セブン-イレブン,コンビニ,セブン-イレブン,38.2904359,140.3197482,
ローソン,コンビニ,ローソン,38.2351426,140.3245627,
セブン-イレブン,コンビニ,セブン-イレブン,38.2338283,140.3266805,
ファミリーマート,コンビニ,ファミリーマート,38.2347508,140.3395579,
コストコ上山倉庫店,スーパー,,38.1845743,140.2970455,
ヨークベニマル　成沢店,スーパー,,38.2094202,140.316728,
ヨークベニマル,スーパー,ヨークベニマル,38.2641519,140.3242775,下条町
ヨークベニマル,スーパー,ヨークベニマル,38.2839442,140.3483253,
ファミリーマート,コンビニ,ファミリーマート,38.264406,140.3623185,
ローソン 山形蔵王温泉店,コンビニ,ローソン,38.165479,140.39515,
ヤマザワあさひ町店,スーパー,,38.2438931,140.3640596,
ローソン,コンビニ,ローソン,38.2363644,140.3535607,
ＪＡやまがた おいしさ直売所 落合店,スーパー,,38.2810117,140.3450767,
ヤマザワ 成沢店,スーパー,,38.2095471,140.3187407,
フードセンターたかき南原店,スーパー,,38.2366289,140.3448907,
ヤマザワ松見町,スーパー,,38.230995,140.3402536,
ローソン 山形あこや町店,コンビニ,ローソン,38.2418837,140.3501027,
セブン-イレブン,コンビニ,セブン-イレブン,38.2285033,140.336735,
